date,open,high,low,close,volume,quote_volume,oi_btc,funding_mean,funding_sum,bn_oi_usd,bn_oi_btc,oi_usd,usdt_d,usdt_mcap,total_mcap,btc_dominance,usdt_d_source
2024-09-25,64243.2,64800.0,62910.0,63118.4,184950.772,11776674397.8463,62248.574,1.2333333333333333e-05,3.7e-05,,,3929030393.1616,5.456206025706582,119229928664.0,2185216762384.9883,,proxy_calibrated
2024-09-26,63118.3,65800.0,62634.4,65139.2,321186.356,20718992185.678,63373.291,5.965333333333333e-05,0.0001789599999999,,,4128085477.1072,5.311624123009492,119274429856.0,2245535962142.2305,,proxy_calibrated
2024-09-27,65139.1,66450.0,64788.0,65749.6,226404.021,14875897055.1134,63501.2,6.332333333333334e-05,0.00018997,,,4175178499.52,5.254889285450831,119347429356.0,2271169245876.145,,proxy_calibrated
2024-09-28,65749.5,66237.0,65368.1,65822.6,92773.553,6095989647.148,62972.242,5.056333333333334e-05,0.00015169,,,4144996696.2692,5.259966508681711,119405929000.0,2270089149862.7876,,proxy_calibrated
2024-09-29,65822.7,66059.3,65400.0,65568.1,88131.799,5789646713.0538,62608.157,3.702e-05,0.00011106,,,4105097898.9917,5.28158315804828,119406925003.0,2260816907162.4507,,proxy_calibrated
2024-09-30,65568.2,65588.8,62825.0,63309.1,296848.373,18997631918.3586,62990.337,7.005333333333334e-05,0.00021016,,,3987861544.1667,5.451343685615131,119622396997.0,2194365350925.4343,,proxy_calibrated
2024-10-01,63309.0,64092.6,60128.2,60776.8,429817.835,26755501281.8141,64296.285,0.0001,0.0003,,,3907722454.188,5.684136191093677,119650346135.0,2104987321072.232,,proxy_calibrated
2024-10-02,60776.7,62355.0,59934.9,60622.6,327001.805,19999405207.7472,63103.187,7.744e-05,0.00023232,,,3825479264.2262,5.730613602876271,119650346135.0,2087915089493.1377,,proxy_calibrated
2024-10-03,60622.7,61452.6,59815.0,60727.2,286137.212,17336091836.27,61272.513,4.3723333333333335e-05,0.00013117,,,3720908151.4536,5.728516756818822,119633735737.0,2088389382724.5325,,proxy_calibrated
2024-10-04,60727.1,62457.1,60434.1,62054.4,234795.836,14447838961.2182,63699.106,3.153e-05,9.459e-05,,,3952809803.3664,5.609453188504441,119635112439.0,2132741078652.203,,proxy_calibrated
2024-10-05,62054.3,62344.0,61648.0,62023.1,74330.781,4609154133.5222,62689.07,1.1766666666666667e-06,3.53e-06,,,3888170457.517,5.612250914528007,119653257237.0,2132001206989.2085,,proxy_calibrated
2024-10-06,62023.1,62961.5,61778.9,62789.3,96413.453,6017121071.2754,62730.627,2.68e-05,8.04e-05,,,3938812157.891101,5.551153930219341,119670028849.0,2155768518641.52,,proxy_calibrated
2024-10-07,62789.2,64448.2,62091.8,62190.7,298949.375,18940835036.916,64059.827,1.9326666666666662e-05,5.798e-05,,,3983925483.0089,5.598044595663624,119670467362.0,2137719078813.6904,,proxy_calibrated
2024-10-08,62190.6,63178.7,61836.0,62131.7,226276.359,14122241997.2083,63398.699,4.505333333333333e-05,0.00013516,,,3939068946.6583,5.60230509536768,119850367555.0,2139304545446.8271,,proxy_calibrated
2024-10-09,62131.8,62520.9,60251.9,60606.4,217302.173,13394677570.4442,62543.127,7.692333333333333e-05,0.00023077,,,3790513772.2128,5.736694085503107,119841275909.0,2089030269399.313,,proxy_calibrated
2024-10-10,60606.3,61297.0,58900.0,60293.2,262947.653,15860406266.3172,64706.981,4.540666666666667e-05,0.00013622,,,3901390946.8292,5.752426604744767,119849377370.0,2083457740619.3203,,proxy_calibrated
2024-10-11,60293.3,63400.0,60057.8,62509.0,263691.142,16300232843.3846,65828.50599999,1.5900000000000009e-06,4.770000000000002e-06,,,4114874081.553375,5.571848209148077,119725377367.0,2148755186302.9976,,proxy_calibrated
