entry_date,exit_date,side,entry,exit,pnl_pct,r_multiple,hold_bars,hold_days,reason
2022-04-29 20:00,2022-04-29 20:00,short,2791.98,2808.73,-0.636,-1.061,1,0.042,sl
2022-04-29 22:00,2022-04-30 00:00,short,2806.44,2823.28,-0.636,-1.061,3,0.125,sl
2022-05-03 19:00,2022-05-03 22:00,short,2782.93,2799.63,-0.636,-1.061,4,0.167,sl
2022-05-04 00:00,2022-05-04 02:00,short,2780.92,2797.61,-0.636,-1.061,3,0.125,sl
2022-05-08 05:00,2022-05-08 06:00,short,2535.17,2550.38,-0.636,-1.061,2,0.083,sl
2022-05-08 08:00,2022-05-08 10:00,short,2555.1,2570.43,-0.636,-1.061,3,0.125,sl
2022-05-08 12:00,2022-05-08 13:00,short,2567.06,2528.55,1.483,2.471,2,0.083,tp
2022-05-08 15:00,2022-05-08 15:00,short,2525.09,2540.24,-0.636,-1.061,1,0.042,sl
2022-05-08 17:00,2022-05-08 17:00,short,2520.22,2535.34,-0.636,-1.061,1,0.042,sl
2022-05-08 20:00,2022-05-08 22:00,short,2560.95,2522.54,1.483,2.471,3,0.125,tp
2022-05-09 16:00,2022-05-09 16:00,short,2381.68,2395.97,-0.636,-1.061,1,0.042,sl
2022-05-14 01:00,2022-05-14 01:00,short,2037.28,2049.5,-0.636,-1.061,1,0.042,sl
2022-05-14 03:00,2022-05-14 03:00,short,2045.77,2058.04,-0.636,-1.061,1,0.042,sl
2022-05-14 05:00,2022-05-14 05:00,short,2022.47,2034.6,-0.636,-1.061,1,0.042,sl
2022-05-14 14:00,2022-05-14 15:00,short,1962.0,1973.77,-0.636,-1.061,2,0.083,sl
2022-05-14 17:00,2022-05-14 18:00,short,2007.49,2019.53,-0.636,-1.061,2,0.083,sl
2022-05-16 12:00,2022-05-16 12:00,short,2030.24,2042.42,-0.636,-1.061,1,0.042,sl
2022-05-16 14:00,2022-05-16 14:00,short,1993.34,2005.3,-0.636,-1.061,1,0.042,sl
2022-05-16 16:00,2022-05-16 16:00,short,2013.83,1983.62,1.483,2.471,1,0.042,tp
2022-05-27 02:00,2022-05-27 02:00,short,1742.0,1752.45,-0.636,-1.061,1,0.042,sl
2022-05-27 04:00,2022-05-27 04:00,short,1766.74,1740.24,1.483,2.471,1,0.042,tp
2022-05-27 06:00,2022-05-27 06:00,short,1735.45,1745.86,-0.636,-1.061,1,0.042,sl
2022-06-03 13:00,2022-06-03 13:00,short,1745.12,1755.59,-0.636,-1.061,1,0.042,sl
2022-06-03 16:00,2022-06-03 21:00,short,1762.52,1773.1,-0.636,-1.061,6,0.25,sl
2022-06-09 02:00,2022-06-09 02:00,short,1781.51,1792.2,-0.636,-1.061,1,0.042,sl
