date,open,high,low,close,volume,quote_volume
2024-07-23,3438.09,3540.94,3384.61,3481.01,3985761.867,13828978662.12502
2024-07-24,3481.01,3486.73,3285.69,3334.24,2296300.341,7821933918.61205
2024-07-25,3334.23,3342.02,3085.57,3173.67,4204282.853,13341514822.71402
2024-07-26,3173.67,3284.93,3169.14,3272.82,2257393.787,7320892193.0802
2024-07-27,3272.81,3326.9,3188.89,3248.17,2181510.66,7122454624.01377
2024-07-28,3248.16,3284.57,3195.84,3268.03,1114442.469,3619629949.885
2024-07-29,3268.03,3396.07,3256.56,3316.87,2897273.325,9642865305.32722
2024-07-30,3316.86,3365.0,3230.1,3278.17,2000830.475,6618568157.7503
2024-07-31,3278.17,3348.74,3212.32,3231.48,2173585.083,7150139867.6455
2024-08-01,3231.49,3241.83,3078.4,3201.67,2840086.848,8965170896.1268
2024-08-02,3201.66,3217.06,2965.27,2988.11,3409297.384,10491247461.2199
2024-08-03,2988.1,3016.61,2855.0,2901.94,2621892.579,7708121561.66818
2024-08-04,2901.95,2934.66,2613.3,2687.6,3709293.795,10337564316.12464
2024-08-05,2687.6,2695.93,2112.0,2418.6,13557724.097,31796290079.35264
2024-08-06,2418.6,2558.24,2412.35,2459.87,4356686.925,10853835843.08941
2024-08-07,2459.86,2549.85,2307.0,2341.41,4906789.045,11948141533.76121
2024-08-08,2341.4,2723.77,2318.64,2681.59,4820970.35,12083805705.50479
2024-08-09,2681.59,2708.8,2551.23,2597.9,3151681.154,8282477599.45511
2024-08-10,2597.89,2644.43,2574.54,2608.76,1311479.404,3425329027.8452
2024-08-11,2608.77,2720.78,2537.76,2554.65,2629489.23,6903526348.81363
2024-08-12,2554.66,2749.97,2506.13,2721.15,4126997.22,10880965017.29926
2024-08-13,2721.15,2737.38,2610.04,2701.01,3016449.602,8069318726.17169
2024-08-14,2701.01,2788.88,2631.0,2659.82,3096528.693,8350455924.61193
2024-08-15,2659.82,2674.17,2513.65,2568.73,3219267.74,8394943427.72548
2024-08-16,2568.73,2630.73,2549.15,2591.52,2666495.856,6920011178.09664
2024-08-17,2591.53,2628.0,2585.81,2613.18,820608.568,2137408112.92346
2024-08-18,2613.18,2688.25,2593.0,2610.67,1615775.889,4267133650.03774
2024-08-19,2610.67,2647.29,2560.9,2635.15,2122248.285,5523868083.81981
2024-08-20,2635.16,2694.96,2552.5,2571.51,2504509.413,6566812933.60973
2024-08-21,2571.51,2663.55,2533.51,2629.38,2414391.575,6277878525.37053
2024-08-22,2629.37,2644.0,2582.27,2622.0,1631635.639,4269132808.98035
2024-08-23,2622.0,2798.88,2619.86,2761.58,3288873.603,8851748788.1898
2024-08-24,2761.58,2819.35,2729.15,2766.4,2124349.317,5889986272.50161
2024-08-25,2766.4,2791.66,2731.63,2744.47,1228055.898,3389709159.62444
2024-08-26,2744.48,2760.97,2665.0,2679.25,1907712.073,5184051187.20895
2024-08-27,2679.26,2699.11,2388.0,2455.98,3836573.429,9846501388.57358
2024-08-28,2455.98,2554.19,2416.56,2527.31,3674708.436,9159321788.05102
2024-08-29,2527.32,2594.0,2504.11,2526.28,2156748.728,5495665085.87916
