date,open,high,low,close,volume,quote_volume
2023-09-06,25779.7,26052.0,25326.0,25747.4,251122.66,6451012388.43805
2023-09-07,25747.4,26451.0,25602.3,26240.7,257349.902,6683838708.83606
2023-09-08,26240.7,26437.5,25630.0,25899.8,249269.761,6476749865.05496
2023-09-09,25899.9,25940.6,25781.5,25892.6,67909.81,1756326250.4234
2023-09-10,25892.6,26037.3,25508.7,25828.4,162972.413,4203882568.6831
2023-09-11,25828.4,25895.0,24888.0,25150.4,427216.374,10833054059.77662
2023-09-12,25150.4,26580.0,25116.4,25825.8,592049.678,15363954424.52744
2023-09-13,25825.8,26400.0,25750.0,26209.9,335252.718,8752833623.09691
2023-09-14,26209.9,26880.0,26106.6,26510.3,380666.471,10081082095.72619
2023-09-15,26510.3,26890.0,26206.6,26591.1,251656.77,6669561598.24096
2023-09-16,26591.1,26763.5,26430.0,26546.9,140482.465,3729905321.7588
2023-09-17,26547.0,26614.3,26377.4,26514.2,114239.394,3027518454.4446
2023-09-18,26514.2,27397.0,26358.6,26749.9,472539.032,12722651442.18257
2023-09-19,26749.9,27480.0,26653.2,27196.0,433511.747,11764014197.82195
2023-09-20,27195.9,27381.0,26740.0,27107.7,348921.447,9453380064.9792
2023-09-21,27107.7,27149.0,26360.1,26552.6,317992.869,8489071729.18165
2023-09-22,26552.6,26737.7,26452.9,26566.7,173534.648,4616219481.9717
2023-09-23,26566.7,26620.6,26492.2,26563.1,57836.484,1536234764.7418
2023-09-24,26563.0,26739.9,26081.0,26232.4,146632.773,3882520896.41624
2023-09-25,26232.4,26440.0,25965.0,26290.5,268385.836,7028826209.2632
2023-09-26,26290.5,26388.0,26073.8,26208.8,180491.169,4732077914.06044
2023-09-27,26208.7,26849.9,26050.0,26359.6,353002.84,9328178302.68859
2023-09-28,26359.6,27308.7,26325.2,27011.8,429587.858,11511420032.6491
2023-09-29,27011.7,27231.5,26625.0,26890.9,277397.643,7472678754.10716
2023-09-30,26890.9,27085.0,26870.4,26950.9,92317.154,2489538716.4701
2023-10-01,26951.0,28365.2,26939.0,27981.4,240382.946,6597423569.0926
2023-10-02,27981.4,28613.0,27255.0,27477.6,593277.72,16636546184.94729
2023-10-03,27477.7,27665.0,27123.0,27412.0,283077.899,7764002370.30097
2023-10-04,27412.0,27830.0,27163.9,27759.8,280784.322,7725687370.07408
2023-10-05,27759.7,28110.0,27333.5,27398.4,370190.087,10248367834.29458
2023-10-06,27398.3,28450.0,27156.0,27916.3,438445.904,12148383610.73177
2023-10-07,27916.3,28018.7,27822.1,27943.0,117049.145,3267342158.1076
2023-10-08,27943.0,28082.0,27671.0,27901.2,178380.307,4975001729.5113
2023-10-09,27901.2,27977.0,27250.0,27578.3,314316.581,8665868960.69567
2023-10-10,27578.4,27727.3,27281.0,27381.2,239779.496,6587799296.3111
2023-10-11,27381.3,27467.6,26525.0,26864.5,388186.571,10465119996.4274
2023-10-12,26864.5,26939.0,26534.8,26744.0,220279.04,5889875524.20162
2023-10-13,26744.0,27120.8,26670.1,26849.8,243222.154,6531230809.70284
2023-10-14,26849.7,26986.4,26773.1,26836.3,82164.781,2208107023.81852
2023-10-15,26836.4,27456.1,26790.4,27139.8,160000.462,4324470125.81482
2023-10-16,27139.8,30720.0,27095.4,28486.3,823003.782,23288253085.66756
2023-10-17,28486.3,28605.0,28055.0,28381.9,314189.758,8911627202.91139
2023-10-18,28382.0,29100.0,28126.6,28307.1,297176.628,8454733708.39205
2023-10-19,28307.2,28933.4,28076.0,28696.9,333673.207,9523779728.80222
2023-10-20,28697.0,30243.0,28560.0,29653.0,551005.327,16251872830.69389
2023-10-21,29653.0,30374.6,29443.5,29895.4,258195.956,7714008513.63393
2023-10-22,29895.4,30229.7,29606.6,29981.5,198602.758,5938982672.49338
2023-10-23,29981.4,35981.9,29869.4,33074.0,987741.536,31143119218.83396
2023-10-24,33074.0,35300.0,32833.5,33917.0,921993.063,31438800457.07022
2023-10-25,33917.0,35154.3,33660.6,34487.7,465367.144,16013137764.07121
2023-10-26,34487.8,34828.7,33750.0,34154.0,339552.964,11632500642.20401
2023-10-27,34154.0,34253.3,33350.0,33893.1,278052.978,9431378767.25107
2023-10-28,33893.2,34535.8,33867.4,34086.6,138314.932,4721192040.5172
2023-10-29,34086.7,34773.8,33933.0,34528.6,175897.55,6052162692.45699
2023-10-30,34528.6,34888.2,34050.0,34483.8,281841.348,9712557953.95943
2023-10-31,34483.8,34744.7,34016.8,34651.4,272450.567,9367740893.9104
2023-11-01,34651.4,35734.0,34076.0,35437.4,469214.787,16310840373.51904
2023-11-02,35437.5,35999.9,34300.0,34940.1,410221.727,14411069440.58643
2023-11-03,34940.1,34944.9,34123.0,34700.4,306048.199,10557775671.82227
2023-11-04,34700.5,35270.0,34571.6,35069.7,140746.874,4903087436.09509
2023-11-05,35069.7,35455.2,34356.0,35025.5,231363.339,8104514852.65571
2023-11-06,35025.5,35299.9,34743.2,35057.4,202227.215,7084946768.0661
2023-11-07,35057.5,35921.7,34520.3,35406.5,343525.95,12064060090.68823
2023-11-08,35406.5,36150.0,35073.0,35626.7,334779.449,11899393604.89829
2023-11-09,35626.7,38499.9,35304.0,36719.5,778877.937,28650466494.87653
2023-11-10,36719.6,37570.0,36350.0,37330.4,299373.892,11076896066.60177
2023-11-11,37330.3,37422.2,36588.0,37162.1,159239.284,5903428289.9594
2023-11-12,37162.1,37258.4,36753.6,37085.5,118890.045,4409373212.1171
2023-11-13,37085.6,37464.8,36350.0,36486.2,257075.648,9473874020.94803
2023-11-14,36486.2,36779.9,34446.3,35559.0,397265.8,14314693961.9118
2023-11-15,35559.1,38000.0,35388.0,37885.6,423818.57,15581195427.04667
2023-11-16,37885.5,37956.5,35486.1,36176.0,434444.366,15963485688.09104
2023-11-17,36176.0,37020.5,35868.3,36621.9,319943.051,11629773626.22051
2023-11-18,36621.9,36900.0,36196.0,36580.9,121720.922,4446623778.62677
2023-11-19,36580.9,37528.2,36380.0,37375.9,154713.007,5695092295.31787
2023-11-20,37375.8,37784.7,36600.0,37462.5,310504.037,11585755433.13282
2023-11-21,37462.6,37675.0,35720.0,35737.0,450731.16,16617512774.69305
2023-11-22,35737.0,37880.0,35610.7,37413.4,338189.618,12443659325.49277
2023-11-23,37413.5,37650.0,36856.3,37294.3,185369.931,6912924978.37547
2023-11-24,37294.4,38425.0,37257.3,37706.3,351031.723,13275238103.95441
2023-11-25,37706.3,37886.5,37570.9,37766.6,82589.329,3116830221.06905
2023-11-26,37766.7,37807.6,37126.0,37437.9,173758.644,6511523445.85111
2023-11-27,37437.9,37560.0,36700.0,37234.3,266112.699,9864595980.22536
2023-11-28,37234.4,38395.0,36856.0,37812.1,318426.327,11989725382.60476
2023-11-29,37812.0,38500.0,37551.8,37837.1,261631.881,9929131546.05138
2023-11-30,37837.2,38132.0,37442.9,37716.8,191188.871,7217490282.26007
2023-12-01,37716.9,38989.0,37600.0,38660.0,342361.994,13165741479.13575
2023-12-02,38659.9,39900.0,38613.5,39435.0,213210.311,8343797522.28991
2023-12-03,39435.1,40410.1,39255.2,39979.7,221917.905,8809720241.44514
2023-12-04,39979.8,42440.0,39970.4,41993.1,602492.859,24973172580.45416
2023-12-05,41993.1,44528.1,41393.5,44081.7,575038.041,24684026724.28502
2023-12-06,44081.7,44349.8,43377.0,43774.8,383957.738,16855439556.37356
2023-12-07,43775.1,44066.7,42815.0,43296.0,346421.958,15052072255.7809
2023-12-08,43296.0,44779.3,43100.0,44209.5,281880.593,12354864659.75649
2023-12-09,44209.6,44389.2,43555.0,43734.3,189339.656,8331208461.23936
2023-12-10,43734.2,44099.2,43552.5,43810.0,144548.259,6336935031.6078
2023-12-11,43810.1,43833.4,40228.3,41271.0,620753.439,25927086771.59747
2023-12-12,41271.1,42125.0,40711.0,41515.0,356541.118,14804780111.22747
2023-12-13,41514.9,43517.6,40556.0,42875.0,396710.296,16618328876.25431
2023-12-14,42875.0,43450.1,41140.0,43032.4,361628.325,15456710755.29236
2023-12-15,43032.3,43098.0,41668.0,41968.0,257177.013,10899991321.40501
2023-12-16,41968.0,42756.7,41638.1,42287.4,160549.459,6792519091.8989
2023-12-17,42287.4,42476.0,41248.3,41396.5,224722.851,9421985303.21506
2023-12-18,41396.6,42795.3,40553.8,42671.7,375385.675,15562426218.22632
2023-12-19,42671.8,43550.0,41835.4,42298.3,315311.844,13457649560.46984
2023-12-20,42298.2,44384.6,42218.3,43708.9,377008.923,16393157759.03438
2023-12-21,43708.9,44287.2,43317.2,43896.3,276922.155,12123140366.35172
2023-12-22,43896.4,44484.0,43430.4,43999.2,238341.933,10452147024.44062
2023-12-23,43999.2,44023.0,43304.2,43725.2,120792.199,5275597701.9703
2023-12-24,43725.2,43994.8,42550.0,43008.4,179967.251,7820621575.19171
2023-12-25,43008.4,43850.0,42755.4,43611.9,184210.274,7998973036.56107
2023-12-26,43611.9,43635.1,41597.0,42538.5,295583.678,12579682837.18391
2023-12-27,42538.6,43700.0,42145.7,43453.8,251351.538,10800417570.90282
2023-12-28,43453.8,43850.0,42320.5,42600.1,257515.182,11056852869.47034
2023-12-29,42600.1,43171.9,41283.2,42095.1,337421.865,14290101442.75712
2023-12-30,42095.1,42654.6,41550.0,42174.2,183890.67,7750535197.76647
2023-12-31,42174.3,42951.0,42001.0,42314.0,173508.289,7373114617.21853
2024-01-01,42314.0,44266.0,42207.9,44230.2,206424.144,8897557996.51846
2024-01-02,44230.3,45950.0,44200.9,44979.8,459798.523,20799115632.46685
2024-01-03,44979.7,45582.3,40333.0,42849.5,595855.225,25726152649.43654
2024-01-04,42849.5,44840.8,42625.0,44143.8,333923.098,14582787988.83859
2024-01-05,44143.8,44500.0,42300.0,44145.4,374967.791,16383172715.24129
2024-01-06,44145.3,44214.6,43391.3,43956.7,138542.797,6067670136.35873
2024-01-07,43956.6,44486.9,43557.5,43916.9,180710.714,7960341657.87697
2024-01-08,43916.9,47312.0,43158.1,46972.7,495087.983,22401426143.93918
2024-01-09,46972.6,48100.0,44417.2,46114.0,513362.773,23864636393.45204
2024-01-10,46113.9,47699.3,44291.5,46662.9,668657.474,30628280360.85305
2024-01-11,46663.0,49027.5,45600.0,46337.8,596698.379,28052864785.47425
2024-01-12,46337.9,46536.2,41370.0,42788.9,575943.258,25506347481.11302
2024-01-13,42789.0,43273.4,42445.7,42846.4,207737.326,8903288166.33136
2024-01-14,42846.4,43096.1,41713.5,41734.9,181096.968,7710193172.30398
2024-01-15,41734.9,43376.0,41720.0,42515.0,240059.141,10237828482.80086
2024-01-16,42515.0,43589.0,42050.0,43133.0,287207.233,12326619430.2348
2024-01-17,43133.0,43198.0,42200.0,42783.4,209396.081,8935030009.19649
2024-01-18,42783.3,42932.3,40673.6,41323.1,335080.756,14029461752.96119
2024-01-19,41323.2,42197.0,40300.0,41662.2,345941.73,14252164353.07918
2024-01-20,41662.1,41883.5,41453.6,41691.8,95866.062,3989874076.29828
2024-01-21,41691.8,41880.9,41500.0,41580.0,67035.552,2795034232.08641
2024-01-22,41579.9,41692.3,39402.0,39567.0,459024.106,18601094756.09346
2024-01-23,39567.1,40172.7,38545.0,39890.0,414373.386,16262676717.26893
2024-01-24,39889.9,40560.6,39493.3,40078.7,272754.171,10898797410.02247
2024-01-25,40078.8,40300.0,39535.3,39953.3,203728.679,8134002285.16447
2024-01-26,39953.3,42239.3,39813.1,41806.4,355418.478,14627005545.1065
2024-01-27,41806.4,42187.1,41360.1,42102.2,118437.114,4949330917.72336
2024-01-28,42102.2,42836.0,41600.0,42021.2,205736.453,8694654832.16972
2024-01-29,42021.2,43340.8,41768.3,43287.7,249502.11,10615111402.26071
2024-01-30,43287.6,43888.0,42665.6,42918.3,257582.784,11174336066.69975
2024-01-31,42918.3,43748.6,42257.6,42560.5,313069.11,13443352429.15163
