region,price_per_m2,segment,source,url,pub_date,context
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/de-an-1-trieu-can-nha-o-xa-hoi-dat-77-cach-nao-khoi-thong-nguon-cung-20260821120859228.htm,2026-08-21T12:15:10,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-chung-cu-da-giam-o-ha-noi-trung-binh-123-trieum2-20260821111147868.htm,2026-08-21T11:15:48,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 (Dân trí) - Giá chung cư thứ "
Ho Chi Minh,108000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-chung-cu-da-giam-o-ha-noi-trung-binh-123-trieum2-20260821111147868.htm,2026-08-21T11:15:48,"uân khoảng 123 triệu đồng/m2, TPHCM khoảng 108 triệu đồng/m2 và Hưng Yên khoảng 69 triệu đ"
Ha Noi,140000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-chung-cu-da-giam-o-ha-noi-trung-binh-123-trieum2-20260821111147868.htm,2026-08-21T11:15:48,"thanh khoản cũng đi xuống Tại Hà Nội, Bộ Xây dựng dẫn giá một số dự án như Hateco Laroma khoảng 133-140 triệu đồng/m2, Bamboo Airways Tower 97-103 "
Ho Chi Minh,120000000,mixed,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-chung-cu-da-giam-o-ha-noi-trung-binh-123-trieum2-20260821111147868.htm,2026-08-21T11:15:48,"n khoảng 80-87 triệu đồng/m2. TPHCM cũng ghi nhận nhiều dự án duy trì mức giá cao, như Masteri Thảo Điền khoảng 114-120 triệu đồng/m2, Cantavil An Phú 80-89 triệu "
National,40000000,land,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-chung-cu-da-giam-o-ha-noi-trung-binh-123-trieum2-20260821111147868.htm,2026-08-21T11:15:48,"ao bán đất nền bình quân trên cả nước giảm khoảng 2,5%, xuống khoảng 40 triệu đồng/m2. Tại TPHCM, mức giảm gần 3%, "
Ho Chi Minh,66000000,mixed,Dantri BDS,https://dantri.com.vn/bat-dong-san/bo-xay-dung-gia-chung-cu-da-giam-o-ha-noi-trung-binh-123-trieum2-20260821111147868.htm,2026-08-21T11:15:48," khoảng 40 triệu đồng/m2. Tại TPHCM, mức giảm gần 3%, còn khoảng 66 triệu đồng/m2. Giá chuyển nhượng tại nhiều "
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/xuat-hien-can-ho-gia-tu-870-trieu-dong-o-ha-noi-20260821094639016.htm,2026-08-21T09:56:39,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/nhat-ban-can-ho-moi-tai-trung-tam-tokyo-co-gia-trung-binh-17-trieu-usd-20260821091632761.htm,2026-08-21T09:21:44,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/de-an-1-trieu-can-nha-o-xa-hoi-da-hoan-thanh-toi-dau-20260820200937659.htm,2026-08-20T20:56:47,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/ca-mau-cho-thue-loat-tru-so-doi-du-gia-thap-nhat-chi-hon-1200-dongm2-20260820173734672.htm,2026-08-20T20:15:22,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
Ha Noi,123000000,apartment,Dantri BDS,https://dantri.com.vn/bat-dong-san/ha-noi-giao-hon-10000m2-dat-kdt-linh-dam-xay-nha-o-cho-luc-luong-cong-an-20260820121309913.htm,2026-08-20T13:05:33,"dựng: Giá chung cư đã giảm, ở Hà Nội trung bình 123 triệu/m2 5 tính năng máy giặt cực tiện"
Ho Chi Minh,120000000,mixed,Dantri BDS,https://dantri.com.vn/bat-dong-san/can-ho-trung-tam-tphcm-dang-dat-do-den-dau-20260819160903160.htm,2026-08-19T17:16:24,ỷ đồng/m2. Đa số căn hộ mới ở TPHCM có giá trên 120 triệu đồng/m2 Căn hộ TPHCM tăng nguồn cung 
